method,params,rmsre,lut,dsp
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,1.555384e-06,833,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=10;rec_WORD_WIDTH=10,1.556959e-06,819,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=14,1.561075e-06,816,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,1.561219e-06,792,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=12,1.562789e-06,778,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.567394e-06,770,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=9;rec_WORD_WIDTH=10,1.568958e-06,756,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=7;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.580426e-06,730,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.581977e-06,716,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.823468e-06,711,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,1.978938e-06,710,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,2.219289e-06,705,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.338857e-06,703,6
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,2.397421e-06,700,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=6;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.508512e-06,698,6
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=6;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=6;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,2.623699e-06,697,6
