NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,LUT,DSP,RMSRE
0,6,6,494,8,0.0044989598
0,6,8,496,8,0.0034009465
0,6,10,498,8,0.0033767075
0,6,12,500,8,0.00332218
0,6,14,502,8,0.0032853318
0,6,16,504,8,0.0032370561
0,7,6,500,8,0.0035039076
0,7,8,506,8,0.0018368582
0,7,10,510,8,0.0016738309
0,7,12,515,8,0.0016263359
0,7,14,520,8,0.0015773981
0,7,16,525,8,0.0016465579
0,8,6,509,8,0.0035216859
0,8,8,521,8,0.0011839458
0,8,10,530,8,0.0008564532
0,8,12,542,8,0.000804583
0,8,14,549,8,0.0007934992
0,8,16,559,8,0.0007926019
0,9,6,528,8,0.0033500088
0,9,8,549,8,0.0009151499
0,9,10,570,8,0.0004421519
0,9,12,592,8,0.000428256
0,9,14,612,8,0.0004313152
0,9,16,632,8,0.0004165763
0,10,6,553,8,0.0032693563
0,10,8,598,8,0.0008561043
0,10,10,637,8,0.0002930802
0,10,12,690,8,0.0002089001
0,10,14,719,8,0.0002102475
0,10,16,764,8,0.0002088204
0,11,6,571,8,0.0032581539
0,11,8,658,8,0.0008530916
0,11,10,739,8,0.0002274839
0,11,12,829,8,0.0001155171
0,11,14,937,8,0.000103431
0,11,16,1002,8,0.0001013348
1,6,6,516,11,4.96374e-05
1,6,8,520,11,2.81069e-05
1,6,10,526,11,2.43719e-05
1,6,12,532,11,2.53745e-05
1,6,14,538,11,2.36206e-05
1,6,16,542,11,2.50232e-05
1,7,6,522,11,3.22836e-05
1,7,8,530,11,8.4943e-06
1,7,10,538,11,6.262e-06
1,7,12,547,11,5.716e-06
1,7,14,556,11,6.5358e-06
1,7,16,563,11,6.0083e-06
1,8,6,531,11,2.56522e-05
1,8,8,545,11,2.9392e-06
1,8,10,557,11,1.7355e-06
1,8,12,573,11,1.6082e-06
1,8,14,584,11,1.6598e-06
1,8,16,597,11,1.5426e-06
1,9,6,549,11,2.21448e-05
1,9,8,572,11,1.8804e-06
1,9,10,596,11,7.357e-07
1,9,12,624,11,5.558e-07
1,9,14,647,11,4.373e-07
1,9,16,669,11,5.441e-07
1,10,6,574,11,2.3834e-05
1,10,8,622,11,1.7507e-06
1,10,10,664,11,5.37e-07
1,10,12,721,11,4.648e-07
1,10,14,754,11,3.542e-07
1,10,16,800,11,5.643e-07
1,11,6,592,11,2.38974e-05
1,11,8,682,11,1.5843e-06
1,11,10,765,11,3.862e-07
1,11,12,858,11,4.346e-07
1,11,14,971,11,5.198e-07
1,11,16,1036,11,4.623e-07
2,6,6,564,14,4.089e-07
2,6,8,568,14,9.018e-07
2,6,10,574,14,5.34e-07
2,6,12,580,14,4.231e-07
2,6,14,586,14,5.032e-07
2,6,16,590,14,5.117e-07
2,7,6,570,14,7.72e-07
2,7,8,578,14,5.167e-07
2,7,10,586,14,4.307e-07
2,7,12,595,14,7.289e-07
2,7,14,604,14,4.795e-07
2,7,16,611,14,9.84e-07
2,8,6,579,14,4.296e-07
2,8,8,593,14,4.072e-07
2,8,10,605,14,3.167e-07
2,8,12,621,14,4.975e-07
2,8,14,632,14,5.04e-07
2,8,16,645,14,4.278e-07
2,9,6,597,14,3.575e-07
2,9,8,620,14,3.739e-07
2,9,10,644,14,5.487e-07
2,9,12,672,14,3.928e-07
2,9,14,695,14,2.793e-07
2,9,16,717,14,4.205e-07
2,10,6,622,14,4.388e-07
2,10,8,670,14,4.956e-07
2,10,10,712,14,4.996e-07
2,10,12,769,14,4.589e-07
2,10,14,802,14,3.418e-07
2,10,16,849,14,5.624e-07
2,11,6,640,14,4.577e-07
2,11,8,730,14,4.538e-07
2,11,10,815,14,3.662e-07
2,11,12,907,14,4.336e-07
2,11,14,1019,14,5.199e-07
2,11,16,1085,14,4.609e-07
